Suburb/Town,Median house price 2023,LGA,School name,Median school VCE score,Sports facilities in suburb,Total fields/courts in suburb,Metropolitan parks in LGA,Regional parks in LGA,State parks in LGA,Total parks in LGA,Total park square meters in LGA,Number of tram stops in LGA,Number of metropolitan train stops in LGA,Number of regional train stops in LGA,Total train stops in LGA,Total transport stops in LGA
ALBERT PARK,2097000.0,City of Port Phillip,Albert Park College,31.0,10.0,24.0,2.0,0.0,0.0,2.0,2217554.41,2.0,2.0,0.0,2.0,4.0
ASHWOOD,1310000.0,City of Monash,Ashwood High School,32.0,8.0,12.0,0.0,0.0,0.0,0.0,2684015.36,8.0,8.0,1.0,9.0,17.0
BACCHUS MARSH,657500.0,Shire of Moorabool,Bacchus Marsh College,25.0,10.0,16.0,0.0,1.0,2.0,3.0,255123708.43,0.0,0.0,2.0,2.0,2.0
BAIRNSDALE,432500.0,Shire of East Gippsland,Bairnsdale Secondary College,26.0,17.0,14.0,0.0,2.0,1.0,3.0,128754867.6,0.0,0.0,1.0,1.0,1.0
BALLARAT EAST,495000.0,City of Ballarat,Woodmans Hill Secondary College,29.0,5.0,3.0,0.0,1.0,0.0,1.0,6405331.630000001,0.0,0.0,2.0,2.0,2.0
BALWYN NORTH,2220000.0,City of Boroondara,Balwyn High School,32.0,13.0,48.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,14.0,28.0
BAYSWATER,873500.0,City of Knox,Bayswater Secondary College,28.0,14.0,10.0,2.0,0.0,0.0,2.0,5261643.35,4.0,4.0,0.0,4.0,8.0
BEAUFORT,465000.0,Shire of Pyrenees,Beaufort Secondary College,26.0,4.0,2.0,0.0,1.0,1.0,2.0,20296425.77,0.0,0.0,1.0,1.0,1.0
BEAUMARIS,1865000.0,City of Bayside,Beaumaris Secondary College,29.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,12.0
BEECHWORTH,718000.0,Shire of Indigo,Beechworth Secondary College,26.0,6.0,15.0,0.0,1.0,0.0,1.0,2658694.53,0.0,0.0,1.0,1.0,1.0
BERWICK,850000.0,City of Casey,Kambrya College,31.0,10.0,8.0,1.0,1.0,0.0,2.0,7540180.57,6.0,6.0,1.0,7.0,13.0
BERWICK,850000.0,City of Casey,Nossal High School,36.0,10.0,8.0,1.0,1.0,0.0,2.0,7540180.57,6.0,6.0,1.0,7.0,13.0
BRUNSWICK,1300000.0,City of Merri-bek,Sydney Road Community School,0.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,13.0,26.0
CAROLINE SPRINGS,670000.0,City of Melton,Lakeview Senior College,28.0,8.0,13.0,0.0,1.0,0.0,1.0,994013.79,1.0,1.0,4.0,5.0,6.0
CAULFIELD NORTH,1975000.0,City of Glen Eira,Oakwood School,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,10.0,19.0
CLAYTON,1230000.0,City of Monash,John Monash Science School,35.0,14.0,22.0,0.0,0.0,0.0,0.0,2684015.36,8.0,8.0,1.0,9.0,17.0
CLAYTON SOUTH,942000.0,City of Kingston,Westall Secondary College,27.0,5.0,5.0,3.0,0.0,0.0,3.0,3482865.06,13.0,13.0,0.0,13.0,26.0
CORIO,487500.0,City of Greater Geelong,Northern Bay P-12 College,23.0,11.0,14.0,0.0,1.0,0.0,1.0,19667891.84,0.0,0.0,8.0,8.0,8.0
CRAIGIEBURN,646000.0,City of Hume,Mount Ridley P-12 College,25.0,11.0,22.0,1.0,0.0,0.0,1.0,593177.57,6.0,6.0,3.0,9.0,15.0
CRANBOURNE,633000.0,City of Casey,Lyndhurst Secondary College,30.0,14.0,19.0,1.0,1.0,0.0,2.0,7540180.57,6.0,6.0,1.0,7.0,13.0
CRANBOURNE NORTH,705000.0,City of Casey,Alkira Secondary College,29.0,1.0,1.0,1.0,1.0,0.0,2.0,7540180.57,6.0,6.0,1.0,7.0,13.0
CROYDON,845500.0,City of Maroondah,Melba Secondary College,29.0,17.0,15.0,1.0,0.0,0.0,1.0,8601.69,5.0,5.0,0.0,5.0,10.0
DANDENONG NORTH,705000.0,City of Greater Dandenong,Lyndale Secondary College,29.0,2.0,17.0,1.0,0.0,0.0,1.0,494618.12,5.0,5.0,1.0,6.0,11.0
DOREEN,700000.0,Shire of Nillumbik,Hazel Glen College,26.0,2.0,3.0,2.0,0.0,0.0,2.0,5971564.59,4.0,4.0,0.0,4.0,8.0
ELTHAM NORTH,1046000.0,Shire of Nillumbik,St Helena Secondary College,29.0,1.0,1.0,2.0,0.0,0.0,2.0,5971564.59,4.0,4.0,0.0,4.0,8.0
ENDEAVOUR HILLS,710000.0,City of Casey,Gleneagles Secondary College,29.0,3.0,2.0,1.0,1.0,0.0,2.0,7540180.57,6.0,6.0,1.0,7.0,13.0
EPPING,639000.0,City of Whittlesea,Lalor North Secondary College,21.0,13.0,17.0,4.0,0.0,0.0,4.0,8004557.72,8.0,8.0,1.0,9.0,17.0
EPPING,639000.0,City of Whittlesea,Mill Park Secondary College,26.0,13.0,17.0,4.0,0.0,0.0,4.0,8004557.72,8.0,8.0,1.0,9.0,17.0
FLEMINGTON,1117500.0,City of Melbourne,Mount Alexander 7-12 College,29.0,2.0,2.0,1.0,0.0,0.0,1.0,415197.0,11.0,11.0,3.0,14.0,25.0
FRANKSTON,698000.0,City of Frankston,McClelland Secondary College,29.0,38.0,160.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,8.0
FRANKSTON NORTH,555000.0,City of Frankston,Monterey Secondary College,25.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,8.0
