Location,School,Median_VCE_Score,Median_Price_2023,latitude,longitude
Albert Park College,ALBERT PARK,31,2097000,-37.8477725,144.9620086605321
Alexandra Secondary College,ALEXANDRA,23,420000,-45.2535683,169.3870836
Alkira Secondary College,CRANBOURNE NORTH,29,705000,-38.0775184,145.2989039
Apollo Bay P-12 College,APOLLO BAY,31,1000000,-38.7547442,143.6691463
Ashwood High School,ASHWOOD,32,1310000,-37.866672,145.1022346
Auburn High School,HAWTHORN EAST,31,2215000,-37.8313785,145.0499797
Bacchus Marsh College,BACCHUS MARSH,25,657500,-37.6751897,144.4366202
Baimbridge College,HAMILTON,24,402500,43.2560802,-79.8728583
Bairnsdale Secondary College,BAIRNSDALE,26,432500,-37.8254509,147.6304752
Balwyn High School,BALWYN NORTH,32,2220000,-37.7919518,145.0842372
Bannockburn P-12 College,BANNOCKBURN,24,702500,42.1933581,-87.8664579
Bass Coast College,WONTHAGGI,28,577500,-38.6043664,145.5913433
Bayswater Secondary College,BAYSWATER,28,873500,51.5122764,-0.1883854
Beaufort Secondary College,BEAUFORT,26,465000,50.2144406,3.9615305
Beaumaris Secondary College,BEAUMARIS,29,1865000,53.2648344,-4.089759711165446
Beechworth Secondary College,BEECHWORTH,26,718000,-36.3594929,146.687012
Gisborne Secondary College,GISBORNE,26,975000,-38.661326,178.0206487
Gladstone Park Secondary College,GLADSTONE PARK,27,677500,-37.6898311,144.8944658
Glen Waverley Secondary College,GLEN WAVERLEY,33,1750500,-37.879667749999996,145.16291624893952
Gleneagles Secondary College,ENDEAVOUR HILLS,29,710000,-37.9702665,145.2563443
Glenroy Secondary College,GLENROY,22,735000,-37.70450915,144.91731736410634
Greensborough Secondary College,GREENSBOROUGH,22,938500,-37.7040227,145.1082019
Grovedale College,GROVEDALE,25,630000,-38.2021549,144.3312609
Hallam Secondary College,HALLAM,23,660000,-38.0179565,145.27031306867752
Hampton Park Secondary College,HAMPTON PARK,29,645000,-38.0367368,145.2590312
Hazel Glen College,DOREEN,26,700000,-37.5963874,145.1428928
Healesville High School,HEALESVILLE,25,745000,-37.6537218,145.5161533
Heathmont College,HEATHMONT,24,1028000,-37.8283636,145.244577
Highvale Secondary College,GLEN WAVERLEY,29,1750500,-37.879667749999996,145.16291624893952
Homestead Senior Secondary College,POINT COOK,29,750000,-37.9064862,144.7533059
Hopetoun P-12 College,HOPETOUN,24,220000,-33.9467298,120.1249342
Hoppers Crossing Secondary College,HOPPERS CROSSING,27,625000,-37.8832314,144.7010882
Horsham College,HORSHAM,31,399500,51.0630273,-0.3295028
John Monash Science School,CLAYTON,35,1230000,33.5204959,-84.3591713
Kambrya College,BERWICK,31,850000,55.7692442,-2.0026472
Kerang Technical High School,KERANG,23,226500,-35.7338373,143.9204152
Kew High School,KEW EAST,31,4600000,-37.7904215,145.0527906
