School;Location;Median_VCE_Score;Median_Price_2023;latitude;longitude
Albert Park College;ALBERT PARK;31;2097000;-37,8447325;144,9476904
Alexandra Secondary College;ALEXANDRA;23;420000;-37,19418025;145,7025346
Alkira Secondary College;CRANBOURNE NORTH;29;705000;-38,07423045;145,3086544
Apollo Bay P-12 College;APOLLO BAY;31;1000000;-38,7533321;143,6611779
Ashwood High School;ASHWOOD;32;1310000;-37,8653529;145,1050244
Auburn High School;HAWTHORN EAST;31;2215000;-37,84023384;145,0454658
Bacchus Marsh College;BACCHUS MARSH;25;657500;-37,6853403;144,4319143
Baimbridge College;HAMILTON;24;402500;-37,73442735;142,0124871
Bairnsdale Secondary College;BAIRNSDALE;26;432500;-37,8289606;147,6038864
Balwyn High School;BALWYN NORTH;32;2220000;-37,7980894;145,0754158
Bannockburn P-12 College;BANNOCKBURN;24;702500;-38,04220835;144,1603329
Bass Coast College;WONTHAGGI;28;577500;-38,49007825;145,2681815
Bayswater Secondary College;BAYSWATER;28;873500;-37,8379599;145,2622026
Beaufort Secondary College;BEAUFORT;26;465000;-37,437707;143,3835896
Beaumaris Secondary College;BEAUMARIS;29;1865000;-37,9790125;145,0327986
Beechworth Secondary College;BEECHWORTH;26;718000;-36,34742105;146,6915143
Gisborne Secondary College;GISBORNE;26;975000;-37,4978041;144,5856057
Gladstone Park Secondary College;GLADSTONE PARK;27;677500;-37,6886043;144,8903849
Glen Waverley Secondary College;GLEN WAVERLEY;33;1750500;-37,87702505;145,1627164
Gleneagles Secondary College;ENDEAVOUR HILLS;29;710000;-37,97346405;145,2752547
Glenroy Secondary College;GLENROY;22;735000;-37,70484365;144,9279009
Greensborough Secondary College;GREENSBOROUGH;22;938500;-37,70930235;145,0916655
Grovedale College;GROVEDALE;25;630000;-38,21039495;144,3283251
Hallam Secondary College;HALLAM;23;660000;-38,0001629;145,2614756
Hampton Park Secondary College;HAMPTON PARK;29;645000;-38,0355233;145,2592145
Hazel Glen College;DOREEN;26;700000;-37,5987207;145,1213462
Healesville High School;HEALESVILLE;25;745000;-37,6440315;145,5303768
Heathmont College;HEATHMONT;24;1028000;-37,8378779;145,2323136
Highvale Secondary College;GLEN WAVERLEY;29;1750500;-37,8663952;145,1756672
Homestead Senior Secondary College;POINT COOK;29;750000;-37,91565164;144,7682729
Hopetoun P-12 College;HOPETOUN;24;220000;-35,56545145;142,3241325
Hoppers Crossing Secondary College;HOPPERS CROSSING;27;625000;-37,870174;144,6960708
Horsham College;HORSHAM;31;399500;-36,7099092;142,1850962
John Monash Science School;CLAYTON;35;1230000;-37,9140339;145,1290907
Kambrya College;BERWICK;31;850000;-38,054146;145,3460969
Kerang Technical High School;KERANG;23;226500;-35,7261071;143,9131868
Kew High School;KEW EAST;31;4600000;-37,7953511;145,0625438
Koo Wee Rup Secondary College;KOO WEE RUP;28;640000;-38,19583915;145,4953109
Koonung Secondary College;MONT ALBERT NORTH;32;1751500;-37,802273;145,1165316
Korumburra Secondary College;KORUMBURRA;25;476000;-38,44491935;145,804316
Kurunjang Secondary College;MELTON;25;456000;-37,67214515;144,5846358
Kyneton High School;KYNETON;28;790000;-37,2499055;144,458545
Lakes Entrance Secondary College;LAKES ENTRANCE;24;525000;-37,8701686;147,9989262
Lakeview Senior College;CAROLINE SPRINGS;28;670000;-37,73180555;144,7405323
Lalor North Secondary College;EPPING;21;639000;-37,6596146;145,0340882
Lalor Secondary College;LALOR;25;655000;-37,6716755;145,0295673
Lara Secondary College;LARA;25;757500;-38,0178276;144,4112689
Laverton P-12 College;LAVERTON;22;565000;-37,8571555;144,7722086
Leongatha Secondary College;LEONGATHA;28;605000;-38,4786029;145,9611845
Lilydale Heights College;LILYDALE;26;775000;-37,74535255;145,3411801
Lilydale High School;LILYDALE;28;775000;-37,7593261;145,3455794
Lorne P-12 College;LORNE;26;1824500;-38,53909225;143,9732148
Lowanna College;NEWBOROUGH;24;375000;-38,174923;146,2852225
Lyndale Secondary College;DANDENONG NORTH;29;705000;-37,95716685;145,2048062
Lyndhurst Secondary College;CRANBOURNE;30;633000;-38,074874;145,2693449
Macleod College;MACLEOD;28;1102500;-37,72462205;145,071749
Maffra Secondary College;MAFFRA;25;401000;-37,96411275;146,9826177
Mallacoota P-12 College;MALLACOOTA;34;1120000;-37,56013055;149,7530654
Manor Lakes P-12 College;WYNDHAM VALE;23;555000;-37,8746022;144,6025248
Mansfield Secondary College;MANSFIELD;30;730000;-37,06173225;146,0914716
Maribyrnong Secondary College;MARIBYRNONG;30;1055000;-37,7795962;144,8878731
Maryborough Education Centre;MARYBOROUGH;26;387500;-37,04167325;143,7230709
Matthew Flinders Girls Secondary College;GEELONG;27;830000;-38,14918605;144,3532979
McClelland Secondary College;FRANKSTON;29;698000;-38,1465651;145,1600072
McKinnon Secondary College;MCKINNON;33;1130000;-37,9095928;145,0486561
Melba Secondary College;CROYDON;29;845500;-37,7960095;145,2615736
Melbourne Girls College;RICHMOND;33;1340000;-37,82255795;145,0148073
Melbourne High School;SOUTH YARRA;36;2700000;-37,83595305;144,994606
Melton Secondary College;MELTON;24;456000;-37,68235245;144,566826
Mentone Girls Secondary College;MENTONE;32;1436000;-37,9810544;145,0539782
Mernda Central P-12 College;MERNDA;28;642500;-37,6053074;145,090426
Mildura Senior College;MILDURA;26;430500;-34,19774055;142,1431396
Mill Park Secondary College;EPPING;26;639000;-37,66453255;145,0619211
Mirboo North Secondary College;MIRBOO NORTH;27;575000;-38,4007353;146,1482365
Monbulk College;MONBULK;25;815000;-37,88439555;145,4273819
Monterey Secondary College;FRANKSTON NORTH;25;555000;-38,12745935;145,1474692
Montmorency Secondary College;MONTMORENCY;30;1173500;-37,71334645;145,1131419
Mooroolbark College;MOOROOLBARK;28;770500;-37,77425475;145,3155932
Mordialloc College;MORDIALLOC;30;1355000;-38,011984;145,0941582
Mornington Secondary College;MORNINGTON;27;1050000;-38,21768055;145,0584359
Mount Alexander 7-12 College;FLEMINGTON;29;1117500;-37,78177318;144,9326803
Mount Beauty Secondary College;MOUNT BEAUTY;28;455000;-36,74050465;147,1678135
Mount Clear College;MOUNT CLEAR;26;500000;-37,60722455;143,8769197
Mount Eliza Secondary College;MOUNT ELIZA;29;1782500;-38,19026225;145,0924982
Mount Ridley P-12 College;CRAIGIEBURN;25;646000;-37,57836855;144,9210979
Mount Rowan Secondary College;WENDOUREE;27;470000;-37,51954885;143,8333034
Mount Waverley Secondary College;MOUNT WAVERLEY;31;1407000;-37,8681839;145,1322265
Myrtleford P-12 College;MYRTLEFORD;30;622000;-36,54964225;146,72521
Neerim District Secondary College;NEERIM SOUTH;23;707500;-38,0177217;145,9565865
Newcomb Secondary College;NEWCOMB;26;544000;-38,17021715;144,395442
Nhill College;NHILL;25;232500;-36,3316989;141,6580188
Noble Park Secondary College;NOBLE PARK;25;709000;-37,97141315;145,1845886
Northcote High School;NORTHCOTE;31;1690000;-37,77390585;144,9891613
Northern Bay P-12 College;CORIO;23;487500;-38,07811792;144,3554808
Norwood Secondary College;RINGWOOD;28;1047500;-37,79970275;145,2385209
Nossal High School;BERWICK;36;850000;-38,0381837;145,3354242
Numurkah Secondary College;NUMURKAH;22;400000;-36,0791155;145,4484038
Oberon High School;ARMSTRONG CREEK;29;675000;-33,7017727;149,8611459
Officer Secondary College;OFFICER;25;700000;-38,0707111;145,4129515
Orbost Secondary College;ORBOST;27;350000;-37,7041583;148,4671517
Pakenham Secondary College;PAKENHAM;29;638000;-38,07022485;145,4710731
Parkdale Secondary College;MORDIALLOC;29;1355000;-37,9903056;145,0956146
Pascoe Vale Girls Secondary College;PASCOE VALE;26;897500;-37,71821765;144,9349061
Patterson River Secondary College;SEAFORD;25;796500;-38,08400185;145,1359902
Phoenix P-12 Community College;SEBASTOPOL;28;460000;-37,58640113;143,8342235
